lead_id,place_name,website_url,source_query,sendable,need,demo URL,sent_at,channel,template_version,status,reply_at,replied,converted,revenue,notes,name,place_url,raw_place_url,place_search_url,source,excluded_reason,collected_at,need_reason,auto_flag,place_name_clean,name_source,name_confidence,home_url,js_required,name_score,name_fallback_reason,name_clean,name_clean_source,name_clean_confidence
0010,アクセスバーズ＆ヒーリングサロンさくら,https://suzume5489.com/00000504/,北九州市 門司区 レイキ サロン -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology -福岡市 -博多区 -中央区 -天神 -薬院 -大名 -六本松 -藤崎 -香椎,,2,,,,,,,,,,,アクセスバーズ&ヒーリングサロンさくら ご予約,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%82%AF%E3%82%BB%E3%82%B9%E3%83%90%E3%83%BC%E3%82%BA%26%E3%83%92%E3%83%BC%E3%83%AA%E3%83%B3%E3%82%B0%E3%82%B5%E3%83%AD%E3%83%B3%E3%81%95%E3%81%8F%E3%82%89+%E3%81%94%E4%BA%88%E7%B4%84+%E7%A6%8F%E5%B2%A1,,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%82%AF%E3%82%BB%E3%82%B9%E3%83%90%E3%83%BC%E3%82%BA%26%E3%83%92%E3%83%BC%E3%83%AA%E3%83%B3%E3%82%B0%E3%82%B5%E3%83%AD%E3%83%B3%E3%81%95%E3%81%8F%E3%82%89+%E3%81%94%E4%BA%88%E7%B4%84+%E7%A6%8F%E5%B2%A1,serpex_search,,2026-02-21 15:58:02,,ok_candidate,バーズ&ヒーリングサロンさくら ご,fallback_place_url_query_js,0.55,https://suzume5489.com/,1,1.2,js_required_place_url_query,バーズ&ヒーリングサロンさくら ご,fallback_place_name_clean,0.6
0011,チャンパックエネルギーワーク,https://champak-t.wixsite.com/tobise,中央区 エネルギーワーク -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology,1,2,,,,,,,,,,,,,,,,,,,,チャンパック エネルギーワークのページ,fallback_original_no_candidate,0.2,https://champak-t.wixsite.com/,0,0,http_404,チャンパック エネルギーワークのページ,fallback_place_name_clean,0.6
0012,Soft Wind,https://www.wadamaya.com/cont24/main.html,井尻 波動調整 -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology,1,1,,,,,,,,,,,,,,,,,,,,ヒーリング施術 Soft Wind,website_home_jsonld_name,0.99,https://www.wadamaya.com/,0,6.5,,ヒーリング施術 Soft Wind,fallback_place_name_clean,0.6
0013,浩氣館道場,https://www.s-grid-fukuoka.com/blank-15,博多区 スピリチュアルカウンセリング -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology,1,1,,,,,,,,,,,,,,,,,,,,S Grid Fukuoka,fallback_domain_derived_js,0.4,https://www.s-grid-fukuoka.com/,1,0.6,js_required_domain_fallback,S Grid Fukuoka,fallback_place_name_clean,0.6
0014,Dormir,https://kaimin-reset.com/?p=1539,東区 エネルギーワーク 隠れ家 サロン -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology,1,1,,,,,,,,,,,,,,,,,,,,アクセス・バーズ®について,fallback_original_no_candidate,0.2,https://kaimin-reset.com/,0,0,thin_or_error_html,アクセス・バーズ®について,fallback_place_name_clean,0.6
0015,アンジェリカ,https://www.angelica-kana.com/,藤崎 スピリチュアルカウンセリング -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology,1,1,,,,,,,,,,,,,,,,,,,,"魂の回復と成長を望むあなたへ 〜 福岡のスピリチュアルカウンセリング、レイキ伝授,過去世ヒーリング、遠隔セッション（電話）、潜在意識の書き換え、ブロックの解放など",website_home_h1,0.676,https://www.angelica-kana.com/,0,2.2,,"魂の回復と成長を望むあなたへ 〜 福岡のスピリチュアルカウンセリング、レイキ伝授,過去世ヒーリング、遠隔セッション（電話）、潜在意識の書き換え、ブロックの解放など",fallback_place_name_clean,0.6
0016,Miracle Healing Salon,https://miraclehealingsalon.com/,北九州市 小倉北区 チャネリング 完全予約制 -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology -福岡市 -博多区 -中央区 -天神 -薬院 -大名 -六本松 -藤崎 -香椎,,1,,,,,,,,,,,Top,https://www.google.com/maps/search/?api=1&query=Top+%E7%A6%8F%E5%B2%A1,,https://www.google.com/maps/search/?api=1&query=Top+%E7%A6%8F%E5%B2%A1,serpex_search,,2026-02-21 16:02:14,,ok_candidate,ミラクルヒーリングサロン,website_home_og_site_name,0.99,https://miraclehealingsalon.com/,0,7.4,,ミラクルヒーリングサロン,fallback_place_name_clean,0.6
0017,癒し空間ミネワサビ,http://www2.tbb.t-com.ne.jp/minewasa-salone/prof.html,東区 エネルギーワーク 隠れ家 -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology,1,1,,,,,,,,,,,,,,,,,,,,T Com,fallback_domain_derived_js,0.4,http://www2.tbb.t-com.ne.jp/,1,0.6,js_required_domain_fallback,T Com,fallback_place_name_clean,0.6
0018,Honey,https://01honey.wixsite.com/honey,西鉄柳川 潜在意識 自宅サロン -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology -福岡市 -博多区 -中央区 -天神 -薬院 -大名 -六本松 -藤崎 -香椎,,1,,,,,,,,,,,Honey自宅エステサロン,https://www.google.com/maps/search/?api=1&query=Honey%E8%87%AA%E5%AE%85%E3%82%A8%E3%82%B9%E3%83%86%E3%82%B5%E3%83%AD%E3%83%B3+%E7%A6%8F%E5%B2%A1,,https://www.google.com/maps/search/?api=1&query=Honey%E8%87%AA%E5%AE%85%E3%82%A8%E3%82%B9%E3%83%86%E3%82%B5%E3%83%AD%E3%83%B3+%E7%A6%8F%E5%B2%A1,serpex_search,,2026-02-21 15:57:11,,needs_manual_review,Honey自宅エステサロン,fallback_original_no_candidate,0.2,https://01honey.wixsite.com/,0,0,http_404,Honey自宅エステサロン,normalized_from_raw,0.9
0019,Sonospi,https://sonospi.com/spiritual.html,藤崎 スピリチュアルカウンセリング -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology,1,2,,,,,,,,,,,,,,,,,,,,Sonoのスピリチュアルカウンセリング・東京都・赤坂・茨城県つくば,website_home_title,0.828,https://sonospi.com/,0,4.1,,Sonoのスピリチュアルカウンセリング・東京都・赤坂・茨城県つくば,fallback_place_name_clean,0.6
