lead_id,place_name,website_url,demo_url,source_query,sendable,need,sent_at,channel,template_version,status,reply_at,replied,converted,revenue,notes
0123,praivatesalon,https://kaon.crayonsite.com/,,札幌市 カウンセリング 自宅サロン site:crayonsite.com -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology -鑑定 -占術 -学校 -大学 -高校 -専門学校 -研究 -研究所 -協会 -法人 -団体 -講座 -スクール -セミナー -求人 -行政 -病院 -クリニック -学会 -支援センター -学校 -病院 -クリニック -協会 -団体 -求人 -行政,1,2,,,,,,,,,
0124,DST式多次元ヒプノセラピー,https://reserva.be/healingsalonteff/,,札幌市 ヒプノセラピー site:reserva.be -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology -鑑定 -占術 -学校 -大学 -高校 -専門学校 -研究 -研究所 -協会 -法人 -団体 -講座 -スクール -セミナー -求人 -行政 -病院 -クリニック -学会 -支援センター -学校 -病院 -クリニック -協会 -団体 -求人 -行政,1,2,,,,,,,,,
0125,おうちsalon Hog Hug,https://hoghug.crayonsite.com/,,札幌市 ヒーリング 自宅サロン -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology -鑑定 -占術 -学校 -大学 -高校 -専門学校 -研究 -研究所 -協会 -法人 -団体 -講座 -スクール -セミナー -求人 -行政 -病院 -クリニック -学会 -支援センター -学校 -病院 -クリニック -協会 -団体 -求人 -行政,1,2,,,,,,,,,
0126,サロン移転のお知らせ,https://r.goope.jp/,,札幌市 カウンセリング 自宅サロン site:goope.jp -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology -鑑定 -占術 -学校 -大学 -高校 -専門学校 -研究 -研究所 -協会 -法人 -団体 -講座 -スクール -セミナー -求人 -行政 -病院 -クリニック -学会 -支援センター -学校 -病院 -クリニック -協会 -団体 -求人 -行政,1,2,,,,,,,,,
0127,ヒプノセラピー,https://reserva.be/anahita/,,札幌市 ヒプノセラピー site:reserva.be -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology -鑑定 -占術 -学校 -大学 -高校 -専門学校 -研究 -研究所 -協会 -法人 -団体 -講座 -スクール -セミナー -求人 -行政 -病院 -クリニック -学会 -支援センター -学校 -病院 -クリニック -協会 -団体 -求人 -行政,1,2,,,,,,,,,
0128,ヒプノセラピー無料体験,https://reserva.be/therapy0001/,,札幌市 ヒプノセラピー site:reserva.be -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology -鑑定 -占術 -学校 -大学 -高校 -専門学校 -研究 -研究所 -協会 -法人 -団体 -講座 -スクール -セミナー -求人 -行政 -病院 -クリニック -学会 -支援センター -学校 -病院 -クリニック -協会 -団体 -求人 -行政,1,2,,,,,,,,,
0129,ヒーリングサロン想,https://kokoro-kounosima.crayonsite.com/,,札幌市 カウンセリング 自宅サロン site:crayonsite.com -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology -鑑定 -占術 -学校 -大学 -高校 -専門学校 -研究 -研究所 -協会 -法人 -団体 -講座 -スクール -セミナー -求人 -行政 -病院 -クリニック -学会 -支援センター -学校 -病院 -クリニック -協会 -団体 -求人 -行政,1,2,,,,,,,,,
0130,フラワーカードカウンセリング,https://happyring-flowertherapy.jimdofree.com/,,札幌市 カウンセリング 自宅サロン site:jimdofree.com -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology -鑑定 -占術 -学校 -大学 -高校 -専門学校 -研究 -研究所 -協会 -法人 -団体 -講座 -スクール -セミナー -求人 -行政 -病院 -クリニック -学会 -支援センター -学校 -病院 -クリニック -協会 -団体 -求人 -行政,1,2,,,,,,,,,
0131,メニュー表,https://cumplir.crayonsite.com/,,札幌市 カウンセリング 自宅サロン site:crayonsite.com -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology -鑑定 -占術 -学校 -大学 -高校 -専門学校 -研究 -研究所 -協会 -法人 -団体 -講座 -スクール -セミナー -求人 -行政 -病院 -クリニック -学会 -支援センター -学校 -病院 -クリニック -協会 -団体 -求人 -行政,1,2,,,,,,,,,
0132,札幌円山リラクゼーションエステ＆整体＆リフレクソロジー,https://hs-cocoro.com/,,札幌市 カウンセリング 完全予約制 隠れ家サロン 1日1名 -占い -タロット -霊視 -手相 -姓名判断 -占星術 -fortune -tarot -astrology -鑑定 -占術 -学校 -大学 -高校 -専門学校 -研究 -研究所 -協会 -法人 -団体 -講座 -スクール -セミナー -求人 -行政 -病院 -クリニック -学会 -支援センター -学校 -病院 -クリニック -協会 -団体 -求人 -行政,1,2,,,,,,,,,
